"location","target_end_date","target","output_type","output_type_id","oracle_value"
"HHS Region 2",2016-04-02,"ili perc","quantile",NA,2.27089
"HHS Region 2",2016-04-09,"ili perc","quantile",NA,1.97445
"HHS Region 2",2016-04-16,"ili perc","quantile",NA,2.22247
"HHS Region 2",2016-04-23,"ili perc","quantile",NA,2.01169
"HHS Region 2",2016-04-30,"ili perc","quantile",NA,1.67706
"HHS Region 2",2016-05-07,"ili perc","quantile",NA,1.47741
"HHS Region 2",2016-05-14,"ili perc","quantile",NA,1.29029
"HHS Region 2",2016-05-21,"ili perc","quantile",NA,1.25907
"HHS Region 2",2016-05-28,"ili perc","quantile",NA,1.25193
"HHS Region 2",2016-06-04,"ili perc","quantile",NA,0.987939
"HHS Region 2",2016-06-11,"ili perc","quantile",NA,1.15182
"HHS Region 2",2016-06-18,"ili perc","quantile",NA,0.999659
"HHS Region 2",2016-06-25,"ili perc","quantile",NA,1.05971
"HHS Region 2",2016-10-01,"ili perc","quantile",NA,0.930282
"HHS Region 2",2016-10-08,"ili perc","quantile",NA,1.74499
"HHS Region 2",2016-10-15,"ili perc","quantile",NA,1.94603
"HHS Region 2",2016-10-22,"ili perc","quantile",NA,1.93008
"HHS Region 2",2016-10-29,"ili perc","quantile",NA,2.05051
"HHS Region 2",2016-11-05,"ili perc","quantile",NA,2.2409
"HHS Region 2",2016-11-12,"ili perc","quantile",NA,2.46429
"HHS Region 2",2016-11-19,"ili perc","quantile",NA,2.53078
"HHS Region 2",2016-11-26,"ili perc","quantile",NA,3.25846
"HHS Region 2",2016-12-03,"ili perc","quantile",NA,3.23771
"HHS Region 2",2016-12-10,"ili perc","quantile",NA,3.26288
"HHS Region 2",2016-12-17,"ili perc","quantile",NA,3.40303
"HHS Region 2",2016-12-24,"ili perc","quantile",NA,4.54373
"HHS Region 2",2016-12-31,"ili perc","quantile",NA,6.04479
"HHS Region 2",2017-01-07,"ili perc","quantile",NA,5.34376
"HHS Region 2",2017-01-14,"ili perc","quantile",NA,5.07086
"HHS Region 2",2017-01-21,"ili perc","quantile",NA,5.68166
"HHS Region 2",2017-01-28,"ili perc","quantile",NA,6.01053
"HHS Region 2",2017-02-04,"ili perc","quantile",NA,6.49829
"HHS Region 2",2017-02-11,"ili perc","quantile",NA,6.93759
"HHS Region 2",2017-02-18,"ili perc","quantile",NA,5.72327
"HHS Region 2",2017-02-25,"ili perc","quantile",NA,4.74394
"HHS Region 2",2017-03-04,"ili perc","quantile",NA,3.14868
"HHS Region 2",2017-03-11,"ili perc","quantile",NA,3.07779
"HHS Region 2",2017-03-18,"ili perc","quantile",NA,3.26144
"HHS Region 2",2017-03-25,"ili perc","quantile",NA,3.07912
"HHS Region 2",2017-04-01,"ili perc","quantile",NA,3.72855
"HHS Region 2",2017-04-08,"ili perc","quantile",NA,3.73
"HHS Region 2",2017-04-15,"ili perc","quantile",NA,3.07639
"HHS Region 2",2017-04-22,"ili perc","quantile",NA,2.30839
"HHS Region 2",2017-04-29,"ili perc","quantile",NA,2.37195
"HHS Region 2",2017-05-06,"ili perc","quantile",NA,2.07862
"HHS Region 2",2017-05-13,"ili perc","quantile",NA,2.07871
"HHS Region 2",2017-05-20,"ili perc","quantile",NA,2.10031
"HHS Region 2",2017-05-27,"ili perc","quantile",NA,1.84893
"HHS Region 2",2017-06-03,"ili perc","quantile",NA,1.97855
"HHS Region 2",2017-06-10,"ili perc","quantile",NA,1.89713
"HHS Region 2",2017-06-17,"ili perc","quantile",NA,1.78182
"HHS Region 2",2017-06-24,"ili perc","quantile",NA,2.10466
"HHS Region 2",2017-10-07,"ili perc","quantile",NA,1.52964
"HHS Region 2",2017-10-14,"ili perc","quantile",NA,1.63699
"HHS Region 2",2017-10-21,"ili perc","quantile",NA,1.86708
"HHS Region 2",2017-10-28,"ili perc","quantile",NA,2.09091
"HHS Region 2",2017-11-04,"ili perc","quantile",NA,2.41627
"HHS Region 2",2017-11-11,"ili perc","quantile",NA,2.39732
"HHS Region 2",2017-11-18,"ili perc","quantile",NA,2.828
"HHS Region 2",2017-11-25,"ili perc","quantile",NA,2.83733
"HHS Region 2",2017-12-02,"ili perc","quantile",NA,2.97265
"HHS Region 2",2017-12-09,"ili perc","quantile",NA,3.15216
"HHS Region 2",2017-12-16,"ili perc","quantile",NA,3.59161
"HHS Region 2",2017-12-23,"ili perc","quantile",NA,4.3243
"HHS Region 2",2017-12-30,"ili perc","quantile",NA,4.52747
"HHS Region 2",2018-01-06,"ili perc","quantile",NA,4.93792
"HHS Region 2",2018-01-13,"ili perc","quantile",NA,5.89362
"HHS Region 2",2018-01-20,"ili perc","quantile",NA,6.831
"HHS Region 2",2018-01-27,"ili perc","quantile",NA,8.44625
"HHS Region 2",2018-02-03,"ili perc","quantile",NA,9.84631
"HHS Region 2",2018-02-10,"ili perc","quantile",NA,10.3506
"HHS Region 2",2018-02-17,"ili perc","quantile",NA,10.1735
"HHS Region 2",2018-02-24,"ili perc","quantile",NA,7.36484
"HHS Region 2",2018-03-03,"ili perc","quantile",NA,4.95815
"HHS Region 2",2018-03-10,"ili perc","quantile",NA,4.64753
"HHS Region 2",2018-03-17,"ili perc","quantile",NA,3.6831
"HHS Region 2",2018-03-24,"ili perc","quantile",NA,3.20794
"HHS Region 2",2018-03-31,"ili perc","quantile",NA,3.21543
"HHS Region 2",2018-04-07,"ili perc","quantile",NA,2.90488
"HHS Region 2",2018-04-14,"ili perc","quantile",NA,2.56969
"HHS Region 2",2018-04-21,"ili perc","quantile",NA,2.28781
"HHS Region 2",2018-04-28,"ili perc","quantile",NA,2.18677
"HHS Region 2",2018-05-05,"ili perc","quantile",NA,2.98077
"HHS Region 2",2018-05-12,"ili perc","quantile",NA,1.99648
"HHS Region 2",2018-05-19,"ili perc","quantile",NA,1.95545
"HHS Region 2",2018-05-26,"ili perc","quantile",NA,2.07372
"HHS Region 2",2018-06-02,"ili perc","quantile",NA,1.91961
"HHS Region 2",2018-06-09,"ili perc","quantile",NA,1.51219
"HHS Region 2",2018-06-16,"ili perc","quantile",NA,1.43914
"HHS Region 2",2018-06-23,"ili perc","quantile",NA,1.45791
"HHS Region 2",2018-10-06,"ili perc","quantile",NA,2.40705
"HHS Region 2",2018-10-13,"ili perc","quantile",NA,2.29853
"HHS Region 2",2018-10-20,"ili perc","quantile",NA,2.46048
"HHS Region 2",2018-10-27,"ili perc","quantile",NA,2.58571
"HHS Region 2",2018-11-03,"ili perc","quantile",NA,2.52538
"HHS Region 2",2018-11-10,"ili perc","quantile",NA,2.58902
"HHS Region 2",2018-11-17,"ili perc","quantile",NA,2.7828
"HHS Region 2",2018-11-24,"ili perc","quantile",NA,3.10666
"HHS Region 2",2018-12-01,"ili perc","quantile",NA,2.80726
"HHS Region 2",2018-12-08,"ili perc","quantile",NA,3.34601
"HHS Region 2",2018-12-15,"ili perc","quantile",NA,3.69822
"HHS Region 2",2018-12-22,"ili perc","quantile",NA,4.43827
"HHS Region 2",2018-12-29,"ili perc","quantile",NA,4.94012
"HHS Region 2",2019-01-05,"ili perc","quantile",NA,4.67081
"HHS Region 2",2019-01-12,"ili perc","quantile",NA,4.10401
"HHS Region 2",2019-01-19,"ili perc","quantile",NA,4.70444
"HHS Region 2",2019-01-26,"ili perc","quantile",NA,4.929
"HHS Region 2",2019-02-02,"ili perc","quantile",NA,4.89534
"HHS Region 2",2019-02-09,"ili perc","quantile",NA,5.07853
"HHS Region 2",2019-02-16,"ili perc","quantile",NA,5.24386
"HHS Region 2",2019-02-23,"ili perc","quantile",NA,4.90294
"HHS Region 2",2019-03-02,"ili perc","quantile",NA,4.23884
"HHS Region 2",2019-03-09,"ili perc","quantile",NA,4.00116
"HHS Region 2",2019-03-16,"ili perc","quantile",NA,3.99708
"HHS Region 2",2019-03-23,"ili perc","quantile",NA,3.82474
"HHS Region 2",2019-03-30,"ili perc","quantile",NA,3.58806
"HHS Region 2",2019-04-06,"ili perc","quantile",NA,3.31555
"HHS Region 2",2019-04-13,"ili perc","quantile",NA,3.0964
"HHS Region 2",2019-04-20,"ili perc","quantile",NA,2.85809
"HHS Region 2",2019-04-27,"ili perc","quantile",NA,2.39823
"HHS Region 2",2019-05-04,"ili perc","quantile",NA,2.22961
"HHS Region 2",2019-05-11,"ili perc","quantile",NA,2.23848
"HHS Region 2",2019-05-18,"ili perc","quantile",NA,2.40278
"HHS Region 2",2019-05-25,"ili perc","quantile",NA,2.15672
"HHS Region 2",2019-06-01,"ili perc","quantile",NA,2.10664
"HHS Region 2",2019-06-08,"ili perc","quantile",NA,1.77301
"HHS Region 2",2019-06-15,"ili perc","quantile",NA,1.9885
"HHS Region 2",2019-06-22,"ili perc","quantile",NA,1.98348
"HHS Region 2",2019-10-05,"ili perc","quantile",NA,2.13358
"HHS Region 2",2019-10-12,"ili perc","quantile",NA,2.05604
"HHS Region 2",2019-10-19,"ili perc","quantile",NA,2.38122
"HHS Region 2",2019-10-26,"ili perc","quantile",NA,2.00852
"HHS Region 2",2019-11-02,"ili perc","quantile",NA,2.27944
"HHS Region 2",2019-11-09,"ili perc","quantile",NA,2.37942
"HHS Region 2",2019-11-16,"ili perc","quantile",NA,2.74556
"HHS Region 2",2019-11-23,"ili perc","quantile",NA,2.66873
"HHS Region 2",2019-11-30,"ili perc","quantile",NA,3.26948
"HHS Region 2",2019-12-07,"ili perc","quantile",NA,3.16621
"HHS Region 2",2019-12-14,"ili perc","quantile",NA,3.73351
"HHS Region 2",2019-12-21,"ili perc","quantile",NA,4.81587
"HHS Region 2",2019-12-28,"ili perc","quantile",NA,6.69473
"HHS Region 2",2020-01-04,"ili perc","quantile",NA,6.80679
"HHS Region 2",2020-01-11,"ili perc","quantile",NA,6.21231
"HHS Region 2",2020-01-18,"ili perc","quantile",NA,6.82373
"HHS Region 2",2020-01-25,"ili perc","quantile",NA,7.61598
"HHS Region 2",2020-02-01,"ili perc","quantile",NA,7.8462
"HHS Region 2",2020-02-08,"ili perc","quantile",NA,7.88361
"HHS Region 2",2020-02-15,"ili perc","quantile",NA,6.8229
"HHS Region 2",2020-02-22,"ili perc","quantile",NA,5.8484
"HHS Region 2",2020-02-29,"ili perc","quantile",NA,5.02374
"HHS Region 2",2020-03-07,"ili perc","quantile",NA,5.54422
"HHS Region 2",2020-03-14,"ili perc","quantile",NA,7.58705
"HHS Region 2",2020-03-21,"ili perc","quantile",NA,11.1957
"HHS Region 2",2020-03-28,"ili perc","quantile",NA,11.9308
"HHS Region 2",2020-04-04,"ili perc","quantile",NA,10.5258
"HHS Region 2",2020-04-11,"ili perc","quantile",NA,7.83137
"HHS Region 2",2020-04-18,"ili perc","quantile",NA,5.21675
"HHS Region 2",2020-04-25,"ili perc","quantile",NA,3.50288
"HHS Region 2",2020-05-02,"ili perc","quantile",NA,2.54096
"HHS Region 2",2020-05-09,"ili perc","quantile",NA,1.89968
"HHS Region 2",2020-05-16,"ili perc","quantile",NA,1.74376
"HHS Region 2",2020-05-23,"ili perc","quantile",NA,1.40121
"HHS Region 2",2020-05-30,"ili perc","quantile",NA,1.19512
"HHS Region 2",2020-06-06,"ili perc","quantile",NA,1.07249
"HHS Region 2",2020-06-13,"ili perc","quantile",NA,0.942994
"HHS Region 2",2020-06-20,"ili perc","quantile",NA,0.981707
"HHS Region 3",2015-10-03,"ili perc","quantile",NA,1.0768
"HHS Region 3",2015-10-10,"ili perc","quantile",NA,1.2178
"HHS Region 3",2015-10-17,"ili perc","quantile",NA,1.26021
"HHS Region 3",2015-10-24,"ili perc","quantile",NA,1.53341
"HHS Region 3",2015-10-31,"ili perc","quantile",NA,1.39535
"HHS Region 3",2015-11-07,"ili perc","quantile",NA,1.53198
"HHS Region 3",2015-11-14,"ili perc","quantile",NA,1.57587
"HHS Region 3",2015-11-21,"ili perc","quantile",NA,1.72001
"HHS Region 3",2015-11-28,"ili perc","quantile",NA,2.17414
"HHS Region 3",2015-12-05,"ili perc","quantile",NA,1.83996
"HHS Region 3",2015-12-12,"ili perc","quantile",NA,2.02023
"HHS Region 3",2015-12-19,"ili perc","quantile",NA,2.27837
"HHS Region 3",2015-12-26,"ili perc","quantile",NA,2.81511
"HHS Region 3",2016-01-02,"ili perc","quantile",NA,2.97706
"HHS Region 3",2016-01-09,"ili perc","quantile",NA,2.38365
"HHS Region 3",2016-01-16,"ili perc","quantile",NA,2.32746
"HHS Region 3",2016-01-23,"ili perc","quantile",NA,2.28403
"HHS Region 3",2016-01-30,"ili perc","quantile",NA,2.23747
"HHS Region 3",2016-02-06,"ili perc","quantile",NA,1.97779
"HHS Region 3",2016-02-13,"ili perc","quantile",NA,2.25924
"HHS Region 3",2016-02-20,"ili perc","quantile",NA,2.5782
"HHS Region 3",2016-02-27,"ili perc","quantile",NA,2.92751
"HHS Region 3",2016-03-05,"ili perc","quantile",NA,3.28807
"HHS Region 3",2016-03-12,"ili perc","quantile",NA,3.98252
"HHS Region 3",2016-03-19,"ili perc","quantile",NA,3.21284
"HHS Region 3",2016-03-26,"ili perc","quantile",NA,2.99606
"HHS Region 3",2016-04-02,"ili perc","quantile",NA,2.51064
"HHS Region 3",2016-04-09,"ili perc","quantile",NA,2.09474
"HHS Region 3",2016-04-16,"ili perc","quantile",NA,2.18665
"HHS Region 3",2016-04-23,"ili perc","quantile",NA,2.29777
"HHS Region 3",2016-04-30,"ili perc","quantile",NA,2.15968
"HHS Region 3",2016-05-07,"ili perc","quantile",NA,1.88872
"HHS Region 3",2016-05-14,"ili perc","quantile",NA,1.73791
"HHS Region 3",2016-05-21,"ili perc","quantile",NA,1.69243
"HHS Region 3",2016-05-28,"ili perc","quantile",NA,1.79687
"HHS Region 3",2016-06-04,"ili perc","quantile",NA,1.92457
"HHS Region 3",2016-06-11,"ili perc","quantile",NA,1.65741
"HHS Region 3",2016-06-18,"ili perc","quantile",NA,1.34856
"HHS Region 3",2016-06-25,"ili perc","quantile",NA,1.59367
"HHS Region 3",2016-10-01,"ili perc","quantile",NA,1.1777
"HHS Region 3",2016-10-08,"ili perc","quantile",NA,1.1181
"HHS Region 3",2016-10-15,"ili perc","quantile",NA,1.08883
"HHS Region 3",2016-10-22,"ili perc","quantile",NA,1.17636
"HHS Region 3",2016-10-29,"ili perc","quantile",NA,1.22343
"HHS Region 3",2016-11-05,"ili perc","quantile",NA,1.35918
"HHS Region 3",2016-11-12,"ili perc","quantile",NA,1.42255
"HHS Region 3",2016-11-19,"ili perc","quantile",NA,1.44312
"HHS Region 3",2016-11-26,"ili perc","quantile",NA,1.74561
"HHS Region 3",2016-12-03,"ili perc","quantile",NA,1.4863
"HHS Region 3",2016-12-10,"ili perc","quantile",NA,1.62466
"HHS Region 3",2016-12-17,"ili perc","quantile",NA,1.91967
"HHS Region 3",2016-12-24,"ili perc","quantile",NA,2.22379
"HHS Region 3",2016-12-31,"ili perc","quantile",NA,3.05115
"HHS Region 3",2017-01-07,"ili perc","quantile",NA,2.70326
"HHS Region 3",2017-01-14,"ili perc","quantile",NA,2.81366
"HHS Region 3",2017-01-21,"ili perc","quantile",NA,3.09968
"HHS Region 3",2017-01-28,"ili perc","quantile",NA,3.45232
"HHS Region 3",2017-02-04,"ili perc","quantile",NA,3.73339
"HHS Region 3",2017-02-11,"ili perc","quantile",NA,5.14024
"HHS Region 3",2017-02-18,"ili perc","quantile",NA,5.20003
"HHS Region 3",2017-02-25,"ili perc","quantile",NA,5.04643
"HHS Region 3",2017-03-04,"ili perc","quantile",NA,3.2261
"HHS Region 3",2017-03-11,"ili perc","quantile",NA,3.17212
"HHS Region 3",2017-03-18,"ili perc","quantile",NA,3.37473
"HHS Region 3",2017-03-25,"ili perc","quantile",NA,3.04786
"HHS Region 3",2017-04-01,"ili perc","quantile",NA,3.18542
"HHS Region 3",2017-04-08,"ili perc","quantile",NA,2.22921
"HHS Region 3",2017-04-15,"ili perc","quantile",NA,1.68984
"HHS Region 3",2017-04-22,"ili perc","quantile",NA,1.41474
"HHS Region 3",2017-04-29,"ili perc","quantile",NA,1.08845
"HHS Region 3",2017-05-06,"ili perc","quantile",NA,1.03816
"HHS Region 3",2017-05-13,"ili perc","quantile",NA,0.87492
"HHS Region 3",2017-05-20,"ili perc","quantile",NA,1.01402
"HHS Region 3",2017-05-27,"ili perc","quantile",NA,0.89892
"HHS Region 3",2017-06-03,"ili perc","quantile",NA,1.06296
"HHS Region 3",2017-06-10,"ili perc","quantile",NA,0.905158
"HHS Region 3",2017-06-17,"ili perc","quantile",NA,0.795069
"HHS Region 3",2017-06-24,"ili perc","quantile",NA,0.756382
"HHS Region 3",2017-10-07,"ili perc","quantile",NA,0.926452
"HHS Region 3",2017-10-14,"ili perc","quantile",NA,0.990782
"HHS Region 3",2017-10-21,"ili perc","quantile",NA,1.02534
"HHS Region 3",2017-10-28,"ili perc","quantile",NA,1.1191
"HHS Region 3",2017-11-04,"ili perc","quantile",NA,1.1806
"HHS Region 3",2017-11-11,"ili perc","quantile",NA,1.30465
"HHS Region 3",2017-11-18,"ili perc","quantile",NA,1.581
"HHS Region 3",2017-11-25,"ili perc","quantile",NA,1.64013
"HHS Region 3",2017-12-02,"ili perc","quantile",NA,1.60673
"HHS Region 3",2017-12-09,"ili perc","quantile",NA,1.6323
"HHS Region 3",2017-12-16,"ili perc","quantile",NA,1.83916
"HHS Region 3",2017-12-23,"ili perc","quantile",NA,2.29733
"HHS Region 3",2017-12-30,"ili perc","quantile",NA,3.53525
"HHS Region 3",2018-01-06,"ili perc","quantile",NA,3.45015
"HHS Region 3",2018-01-13,"ili perc","quantile",NA,3.70733
"HHS Region 3",2018-01-20,"ili perc","quantile",NA,4.75691
"HHS Region 3",2018-01-27,"ili perc","quantile",NA,5.97045
"HHS Region 3",2018-02-03,"ili perc","quantile",NA,7.06078
"HHS Region 3",2018-02-10,"ili perc","quantile",NA,7.51172
"HHS Region 3",2018-02-17,"ili perc","quantile",NA,7.34917
"HHS Region 3",2018-02-24,"ili perc","quantile",NA,5.53973
"HHS Region 3",2018-03-03,"ili perc","quantile",NA,3.78776
"HHS Region 3",2018-03-10,"ili perc","quantile",NA,2.89521
"HHS Region 3",2018-03-17,"ili perc","quantile",NA,2.66651
"HHS Region 3",2018-03-24,"ili perc","quantile",NA,2.52905
"HHS Region 3",2018-03-31,"ili perc","quantile",NA,2.47912
"HHS Region 3",2018-04-07,"ili perc","quantile",NA,1.99097
"HHS Region 3",2018-04-14,"ili perc","quantile",NA,1.73229
"HHS Region 3",2018-04-21,"ili perc","quantile",NA,1.49612
"HHS Region 3",2018-04-28,"ili perc","quantile",NA,1.3405
"HHS Region 3",2018-05-05,"ili perc","quantile",NA,1.25569
"HHS Region 3",2018-05-12,"ili perc","quantile",NA,0.888333
"HHS Region 3",2018-05-19,"ili perc","quantile",NA,0.869624
"HHS Region 3",2018-05-26,"ili perc","quantile",NA,0.98619
"HHS Region 3",2018-06-02,"ili perc","quantile",NA,0.997733
"HHS Region 3",2018-06-09,"ili perc","quantile",NA,1.0925
"HHS Region 3",2018-06-16,"ili perc","quantile",NA,0.762623
"HHS Region 3",2018-06-23,"ili perc","quantile",NA,0.855848
"HHS Region 3",2018-10-06,"ili perc","quantile",NA,1.02938
"HHS Region 3",2018-10-13,"ili perc","quantile",NA,1.12617
"HHS Region 3",2018-10-20,"ili perc","quantile",NA,1.30645
"HHS Region 3",2018-10-27,"ili perc","quantile",NA,1.29501
"HHS Region 3",2018-11-03,"ili perc","quantile",NA,1.50833
"HHS Region 3",2018-11-10,"ili perc","quantile",NA,1.5906
"HHS Region 3",2018-11-17,"ili perc","quantile",NA,1.542
"HHS Region 3",2018-11-24,"ili perc","quantile",NA,1.82669
"HHS Region 3",2018-12-01,"ili perc","quantile",NA,1.66322
"HHS Region 3",2018-12-08,"ili perc","quantile",NA,1.6979
"HHS Region 3",2018-12-15,"ili perc","quantile",NA,2.07991
"HHS Region 3",2018-12-22,"ili perc","quantile",NA,2.42371
"HHS Region 3",2018-12-29,"ili perc","quantile",NA,3.02437
"HHS Region 3",2019-01-05,"ili perc","quantile",NA,3.0555
"HHS Region 3",2019-01-12,"ili perc","quantile",NA,2.70743
"HHS Region 3",2019-01-19,"ili perc","quantile",NA,3.00594
"HHS Region 3",2019-01-26,"ili perc","quantile",NA,3.42145
"HHS Region 3",2019-02-02,"ili perc","quantile",NA,3.61022
"HHS Region 3",2019-02-09,"ili perc","quantile",NA,4.22825
"HHS Region 3",2019-02-16,"ili perc","quantile",NA,4.46846
"HHS Region 3",2019-02-23,"ili perc","quantile",NA,4.6434
"HHS Region 3",2019-03-02,"ili perc","quantile",NA,4.40035
"HHS Region 3",2019-03-09,"ili perc","quantile",NA,4.25229
"HHS Region 3",2019-03-16,"ili perc","quantile",NA,4.33821
"HHS Region 3",2019-03-23,"ili perc","quantile",NA,3.58044
"HHS Region 3",2019-03-30,"ili perc","quantile",NA,3.13641
"HHS Region 3",2019-04-06,"ili perc","quantile",NA,2.47481
"HHS Region 3",2019-04-13,"ili perc","quantile",NA,1.97557
"HHS Region 3",2019-04-20,"ili perc","quantile",NA,1.51175
"HHS Region 3",2019-04-27,"ili perc","quantile",NA,1.24786
"HHS Region 3",2019-05-04,"ili perc","quantile",NA,1.08442
"HHS Region 3",2019-05-11,"ili perc","quantile",NA,1.03543
"HHS Region 3",2019-05-18,"ili perc","quantile",NA,0.95712
"HHS Region 3",2019-05-25,"ili perc","quantile",NA,1.02795
"HHS Region 3",2019-06-01,"ili perc","quantile",NA,0.954457
"HHS Region 3",2019-06-08,"ili perc","quantile",NA,0.923669
"HHS Region 3",2019-06-15,"ili perc","quantile",NA,0.768667
"HHS Region 3",2019-06-22,"ili perc","quantile",NA,0.760527
"HHS Region 3",2019-10-05,"ili perc","quantile",NA,1.16365
"HHS Region 3",2019-10-12,"ili perc","quantile",NA,1.28536
"HHS Region 3",2019-10-19,"ili perc","quantile",NA,1.40386
"HHS Region 3",2019-10-26,"ili perc","quantile",NA,1.5576
"HHS Region 3",2019-11-02,"ili perc","quantile",NA,1.5272
"HHS Region 3",2019-11-09,"ili perc","quantile",NA,1.69368
"HHS Region 3",2019-11-16,"ili perc","quantile",NA,1.86702
"HHS Region 3",2019-11-23,"ili perc","quantile",NA,2.05799
"HHS Region 3",2019-11-30,"ili perc","quantile",NA,2.39073
"HHS Region 3",2019-12-07,"ili perc","quantile",NA,2.4231
"HHS Region 3",2019-12-14,"ili perc","quantile",NA,2.98098
"HHS Region 3",2019-12-21,"ili perc","quantile",NA,3.91613
"HHS Region 3",2019-12-28,"ili perc","quantile",NA,5.64113
"HHS Region 3",2020-01-04,"ili perc","quantile",NA,5.48181
"HHS Region 3",2020-01-11,"ili perc","quantile",NA,4.40187
"HHS Region 3",2020-01-18,"ili perc","quantile",NA,4.61257
"HHS Region 3",2020-01-25,"ili perc","quantile",NA,5.28306
"HHS Region 3",2020-02-01,"ili perc","quantile",NA,6.30302
"HHS Region 3",2020-02-08,"ili perc","quantile",NA,6.49099
"HHS Region 3",2020-02-15,"ili perc","quantile",NA,5.78865
"HHS Region 3",2020-02-22,"ili perc","quantile",NA,5.27725
"HHS Region 3",2020-02-29,"ili perc","quantile",NA,5.16024
"HHS Region 3",2020-03-07,"ili perc","quantile",NA,5.13153
"HHS Region 3",2020-03-14,"ili perc","quantile",NA,6.09776
"HHS Region 3",2020-03-21,"ili perc","quantile",NA,6.81081
"HHS Region 3",2020-03-28,"ili perc","quantile",NA,4.91317
"HHS Region 3",2020-04-04,"ili perc","quantile",NA,3.75135
"HHS Region 3",2020-04-11,"ili perc","quantile",NA,2.96253
"HHS Region 3",2020-04-18,"ili perc","quantile",NA,2.40233
"HHS Region 3",2020-04-25,"ili perc","quantile",NA,2.0314
"HHS Region 3",2020-05-02,"ili perc","quantile",NA,1.80028
"HHS Region 3",2020-05-09,"ili perc","quantile",NA,1.44749
"HHS Region 3",2020-05-16,"ili perc","quantile",NA,1.28998
"HHS Region 3",2020-05-23,"ili perc","quantile",NA,1.13097
"HHS Region 3",2020-05-30,"ili perc","quantile",NA,0.83261
"HHS Region 3",2020-06-06,"ili perc","quantile",NA,0.704281
"HHS Region 3",2020-06-13,"ili perc","quantile",NA,0.60644
"HHS Region 3",2020-06-20,"ili perc","quantile",NA,0.630124
"HHS Region 4",2015-10-03,"ili perc","quantile",NA,0.855035
"HHS Region 4",2015-10-10,"ili perc","quantile",NA,1.00961
"HHS Region 4",2015-10-17,"ili perc","quantile",NA,1.08011
"HHS Region 4",2015-10-24,"ili perc","quantile",NA,1.03172
"HHS Region 4",2015-10-31,"ili perc","quantile",NA,1.07437
"HHS Region 4",2015-11-07,"ili perc","quantile",NA,1.0869
"HHS Region 4",2015-11-14,"ili perc","quantile",NA,1.15267
"HHS Region 4",2015-11-21,"ili perc","quantile",NA,1.33482
"HHS Region 4",2015-11-28,"ili perc","quantile",NA,1.67507
"HHS Region 4",2015-12-05,"ili perc","quantile",NA,1.37971
"HHS Region 4",2015-12-12,"ili perc","quantile",NA,1.39395
"HHS Region 4",2015-12-19,"ili perc","quantile",NA,1.54107
"HHS Region 4",2015-12-26,"ili perc","quantile",NA,1.919
"HHS Region 4",2016-01-02,"ili perc","quantile",NA,1.79532
"HHS Region 4",2016-01-09,"ili perc","quantile",NA,1.42353
"HHS Region 4",2016-01-16,"ili perc","quantile",NA,1.52681
"HHS Region 4",2016-01-23,"ili perc","quantile",NA,1.79717
"HHS Region 4",2016-01-30,"ili perc","quantile",NA,1.88124
"HHS Region 4",2016-02-06,"ili perc","quantile",NA,2.08757
"HHS Region 4",2016-02-13,"ili perc","quantile",NA,2.31665
"HHS Region 4",2016-02-20,"ili perc","quantile",NA,2.93945
"HHS Region 4",2016-02-27,"ili perc","quantile",NA,3.35558
"HHS Region 4",2016-03-05,"ili perc","quantile",NA,3.30622
"HHS Region 4",2016-03-12,"ili perc","quantile",NA,3.62199
"HHS Region 4",2016-03-19,"ili perc","quantile",NA,2.89248
"HHS Region 4",2016-03-26,"ili perc","quantile",NA,2.81017
"HHS Region 4",2016-04-02,"ili perc","quantile",NA,2.69947
"HHS Region 4",2016-04-09,"ili perc","quantile",NA,2.16927
"HHS Region 4",2016-04-16,"ili perc","quantile",NA,2.06154
"HHS Region 4",2016-04-23,"ili perc","quantile",NA,2.04927
"HHS Region 4",2016-04-30,"ili perc","quantile",NA,1.81702
"HHS Region 4",2016-05-07,"ili perc","quantile",NA,1.73027
"HHS Region 4",2016-05-14,"ili perc","quantile",NA,1.44645
"HHS Region 4",2016-05-21,"ili perc","quantile",NA,1.25795
"HHS Region 4",2016-05-28,"ili perc","quantile",NA,1.13994
"HHS Region 4",2016-06-04,"ili perc","quantile",NA,1.16831
"HHS Region 4",2016-06-11,"ili perc","quantile",NA,1.07419
"HHS Region 4",2016-06-18,"ili perc","quantile",NA,1.14098
"HHS Region 4",2016-06-25,"ili perc","quantile",NA,0.723625
"HHS Region 4",2016-10-01,"ili perc","quantile",NA,1.31572
"HHS Region 4",2016-10-08,"ili perc","quantile",NA,1.17386
"HHS Region 4",2016-10-15,"ili perc","quantile",NA,1.23174
"HHS Region 4",2016-10-22,"ili perc","quantile",NA,1.2768
"HHS Region 4",2016-10-29,"ili perc","quantile",NA,1.38032
"HHS Region 4",2016-11-05,"ili perc","quantile",NA,1.64361
"HHS Region 4",2016-11-12,"ili perc","quantile",NA,1.67847
"HHS Region 4",2016-11-19,"ili perc","quantile",NA,1.9058
"HHS Region 4",2016-11-26,"ili perc","quantile",NA,2.19048
"HHS Region 4",2016-12-03,"ili perc","quantile",NA,1.92682
"HHS Region 4",2016-12-10,"ili perc","quantile",NA,1.82204
"HHS Region 4",2016-12-17,"ili perc","quantile",NA,2.27691
"HHS Region 4",2016-12-24,"ili perc","quantile",NA,2.92463
"HHS Region 4",2016-12-31,"ili perc","quantile",NA,3.37282
